,CpG Index,chrom,start_hg38,end_hg38,start_T2T,end_T2T,name,ΔmC,score,rel_to_TSS_hg38,rel_to_TSS_T2T,Region,strand,Significant,Chromosome,lasso_abs_coefs,lasso_abs_coefs_norm,shap_sumabs_coefs
29,30,chr1,207320888,207320890,206586184,206586186,CpG_30,0.11966950221115479,120,-790,-790,Promoter,+,False,chr1,0.0,0.0,0.0
30,31,chr1,207320890,207320892,206586186,206586188,CpG_31,0.1039587071690174,104,-788,-788,Promoter,+,False,chr1,0.0,0.0,0.0
31,32,chr1,207320892,207320894,206586188,206586190,CpG_32,0.10253038111649267,103,-786,-786,Promoter,+,False,chr1,0.0,0.0,0.0
32,33,chr1,207320932,207320934,206586228,206586230,CpG_33,0.17902003139230324,179,-746,-746,Promoter,+,False,chr1,0.20389589591919394,0.1325783855839986,2.3249999999999953
33,34,chr1,207320991,207320993,206586287,206586289,CpG_34,0.1823080704181762,182,-687,-687,Promoter,+,False,chr1,0.0,0.0,0.0
34,35,chr1,207321008,207321010,206586304,206586306,CpG_35,0.02768237574671493,28,-670,-670,Promoter,+,False,chr1,0.0,0.0,0.0
35,36,chr1,207321032,207321034,206586328,206586330,CpG_36,0.14500260019455946,145,-646,-646,Promoter,+,False,chr1,0.0,0.0,0.0
36,37,chr1,207321127,207321129,206586423,206586425,CpG_37,0.21902463812969628,219,-551,-551,Promoter,+,False,chr1,0.0,0.0,0.0
37,38,chr1,207321158,207321160,206586454,206586456,CpG_38,0.055312510141550315,55,-520,-520,Promoter,+,False,chr1,0.0,0.0,0.0
38,39,chr1,207321199,207321201,206586495,206586497,CpG_39,0.17843112888020662,178,-479,-479,Promoter,+,False,chr1,0.0,0.0,0.0
39,40,chr1,207321201,207321203,206586497,206586499,CpG_40,0.15433124341541293,154,-477,-477,Promoter,+,False,chr1,0.0,0.0,0.0
40,41,chr1,207321213,207321215,206586509,206586511,CpG_41,0.21142787487721304,211,-465,-465,Promoter,+,False,chr1,0.0,0.0,0.0
41,42,chr1,207321215,207321217,206586511,206586513,CpG_42,0.256021409455843,256,-463,-463,Promoter,+,False,chr1,0.0,0.0,0.0
42,43,chr1,207321223,207321225,206586519,206586521,CpG_43,0.26896578745526833,269,-455,-455,Promoter,+,False,chr1,0.15742959301961273,0.10236479352167974,1.2199999999999989
43,44,chr1,207321241,207321243,206586537,206586539,CpG_44,0.11418851370979297,114,-437,-437,Promoter,+,False,chr1,0.0,0.0,0.0
44,45,chr1,207321251,207321253,206586547,206586549,CpG_45,0.13827415153316494,138,-427,-427,Promoter,+,False,chr1,0.0,0.0,0.0
45,46,chr1,207321283,207321285,206586579,206586581,CpG_46,0.1351614376503423,135,-395,-395,Promoter,+,False,chr1,0.0,0.0,0.0
46,47,chr1,207321285,207321287,206586581,206586583,CpG_47,0.08743619233366078,87,-393,-393,Promoter,+,False,chr1,0.0,0.0,0.0
47,48,chr1,207321296,207321298,206586592,206586594,CpG_48,0.1315884457960355,132,-382,-382,Promoter,+,False,chr1,0.0,0.0,0.0
48,49,chr1,207321304,207321306,206586600,206586602,CpG_49,0.07493309545049064,75,-374,-374,Promoter,+,False,chr1,0.0,0.0,0.0
49,50,chr1,207321312,207321314,206586608,206586610,CpG_50,0.17216770740410348,172,-366,-366,Promoter,+,False,chr1,0.0,0.0,0.0
50,51,chr1,207321316,207321318,206586612,206586614,CpG_51,0.10437109723461195,104,-362,-362,Promoter,+,False,chr1,0.0,0.0,0.0
51,52,chr1,207321332,207321334,206586628,206586630,CpG_52,0.17662801070472792,177,-346,-346,Promoter,+,False,chr1,0.0,0.0,0.0
52,53,chr1,207321360,207321362,206586656,206586658,CpG_53,0.1824264049955397,182,-318,-318,Promoter,+,False,chr1,0.0,0.0,0.0
53,54,chr1,207321371,207321373,206586667,206586669,CpG_54,0.17618198037466548,176,-307,-307,Promoter,+,False,chr1,0.0,0.0,0.0
54,55,chr1,207321383,207321385,206586679,206586681,CpG_55,0.4683413449931809,468,-295,-295,Promoter,+,True,chr1,1.4414579446835691,0.937273240993108,19.19
55,56,chr1,207321388,207321390,206586684,206586686,CpG_56,0.3376544582848848,338,-290,-290,Promoter,+,True,chr1,0.0,0.0,0.0
56,57,chr1,207321423,207321425,206586719,206586721,CpG_57,0.1779708509087225,178,-255,-255,Promoter,+,False,chr1,0.0,0.0,0.0
57,58,chr1,207321474,207321476,206586770,206586772,CpG_58,0.13292653678622285,133,-204,-204,Promoter,+,False,chr1,0.0,0.0,0.0
58,59,chr1,207321507,207321509,206586803,206586805,CpG_59,0.11775200713648529,118,-171,-171,Promoter,+,False,chr1,0.0,0.0,0.0
59,60,chr1,207321522,207321524,206586818,206586820,CpG_60,0.11641391614629795,116,-156,-156,Promoter,+,False,chr1,0.0,0.0,0.0
60,61,chr1,207321527,207321529,206586823,206586825,CpG_61,0.3644115288748242,364,-151,-151,Promoter,+,True,chr1,0.8796147071299232,0.5719482350613071,6.420000000000002
61,62,chr1,207321534,207321536,206586830,206586832,CpG_62,0.37644959857270294,376,-144,-144,Promoter,+,True,chr1,0.9006898334050825,0.5856518273035308,6.689999999999996
62,63,chr1,207321537,207321539,206586833,206586835,CpG_63,0.2859054415700268,286,-141,-141,Promoter,+,False,chr1,0.45719625922945184,0.2972808337824815,2.2449999999999988
63,64,chr1,207321551,207321553,206586847,206586849,CpG_64,0.32114183764495985,321,-127,-127,Promoter,+,True,chr1,0.7648667031872382,0.4973361147774511,6.219999999999995
64,65,chr1,207321585,207321587,206586881,206586883,CpG_65,0.16414865989059396,164,-93,-93,Promoter,+,False,chr1,0.0,0.0,0.0
65,66,chr1,207321611,207321613,206586907,206586909,CpG_66,0.15388046387154328,154,-67,-67,Promoter,+,False,chr1,0.0,0.0,0.0
66,67,chr1,207321633,207321635,206586929,206586931,CpG_67,0.14942016057091884,149,-45,-45,Promoter,+,False,chr1,0.0,0.0,0.0
67,68,chr1,207321662,207321664,206586958,206586960,CpG_68,0.23327386262265834,233,-16,-16,Promoter,+,False,chr1,0.0,0.0,0.0
68,69,chr1,207321670,207321672,206586966,206586968,CpG_69,0.25334997668927556,253,-8,-8,Promoter,+,False,chr1,0.16572087141376196,0.10775599719926349,1.605
69,70,chr1,207321693,207321695,206586989,206586991,CpG_70,0.39072256913470116,391,15,15,Promoter,+,True,chr1,0.8107216571376124,0.5271521919395855,9.205000000000002
70,71,chr1,207321698,207321700,206586994,206586996,CpG_71,0.19804221576153247,198,20,20,Promoter,+,False,chr1,0.2560169480808051,0.16646884188462144,1.8249999999999975
71,72,chr1,207321702,207321704,206586998,206587000,CpG_72,0.3157894736842105,316,24,24,Promoter,+,True,chr1,0.3866959350004632,0.2514396993776378,4.184999999999999
72,73,chr1,207321709,207321711,206587005,206587007,CpG_73,0.44872075968424063,449,31,31,Promoter,+,True,chr1,1.5379271290795002,1.0,18.655000000000005
73,74,chr1,207321717,207321719,206587013,206587015,CpG_74,0.029893530541798226,30,39,39,Promoter,+,False,chr1,0.0,0.0,0.0
74,75,chr1,207321722,207321724,206587018,206587020,CpG_75,0.01694915254237288,17,44,44,Promoter,+,False,chr1,0.0,0.0,0.0
75,76,chr1,207321725,207321727,206587021,206587023,CpG_76,0.02409038703717922,24,47,47,Promoter,+,False,chr1,0.0,0.0,0.0
76,77,chr1,207321733,207321735,206587029,206587031,CpG_77,0.015169780435930334,15,55,55,Promoter,+,False,chr1,0.0,0.0,0.0
77,78,chr1,207321736,207321738,206587032,206587034,CpG_78,0.041931600239676986,42,58,58,Promoter,+,False,chr1,0.0,0.0,0.0
78,79,chr1,207321739,207321741,206587035,206587037,CpG_79,0.14451857615403918,145,61,61,Promoter,+,False,chr1,0.24752946960895988,0.1609500638415257,1.285
79,80,chr1,207321741,207321743,206587037,206587039,CpG_80,0.23371989295272078,234,63,63,Promoter,+,False,chr1,0.13074403981456217,0.0850131565679687,0.4099999999999999
80,81,chr1,207321757,207321759,206587053,206587055,CpG_81,0.35459411239964317,355,79,79,Promoter,+,True,chr1,0.3493617880911697,0.22716407135640695,3.9049999999999976
81,82,chr1,207321760,207321762,206587056,206587058,CpG_82,0.4808206958073149,481,82,82,Promoter,+,True,chr1,1.4595026563169748,0.9490063792492789,20.255000000000006
82,83,chr1,207321762,207321764,206587058,206587060,CpG_83,0.4794873540309348,479,84,84,Promoter,+,True,chr1,1.1193352918114934,0.7278207599351292,13.249999999999991
83,84,chr1,207321771,207321773,206587067,206587069,CpG_84,0.19580731489741302,196,93,93,Promoter,+,False,chr1,0.21347961168773355,0.1388099654731418,1.7099999999999986
84,85,chr1,207321774,207321776,206587070,206587072,CpG_85,0.25735950044603034,257,96,96,Promoter,+,False,chr1,0.0,0.0,0.0
85,86,chr1,207321776,207321778,206587072,206587074,CpG_86,0.2256913470115968,226,98,98,Promoter,+,False,chr1,0.0,0.0,0.0
86,87,chr1,207321778,207321780,206587074,206587076,CpG_87,0.27922448504670455,279,100,100,Promoter,+,False,chr1,1.1622664500313615,0.7557357094851536,7.7650000000000015
87,88,chr1,207321782,207321784,206587078,206587080,CpG_88,0.26405470461077424,264,104,104,Promoter,+,False,chr1,0.0,0.0,0.0
88,89,chr1,207321786,207321788,206587082,206587084,CpG_89,0.2832292595896521,283,108,108,Promoter,+,False,chr1,0.2887109302764235,0.187727314784561,1.4199999999999986
89,90,chr1,207321792,207321794,206587088,206587090,CpG_90,0.09322033898305085,93,114,114,Promoter,+,False,chr1,0.0,0.0,0.0
90,91,chr1,207321794,207321796,206587090,206587092,CpG_91,0.10660124888492417,107,116,116,Promoter,+,False,chr1,0.0,0.0,0.0
91,92,chr1,207321797,207321799,206587093,206587095,CpG_92,0.1186488170104174,119,119,119,Promoter,+,False,chr1,0.0,0.0,0.0
92,93,chr1,207321810,207321812,206587106,206587108,CpG_93,0.021855486173059768,22,132,132,Promoter,+,False,chr1,0.0,0.0,0.0
93,94,chr1,207321823,207321825,206587119,206587121,CpG_94,0.03256021409455843,33,145,145,Promoter,+,False,chr1,0.0,0.0,0.0
94,95,chr1,207321854,207321856,206587150,206587152,CpG_95,0.01873802307642989,19,176,176,Promoter,+,False,chr1,0.0,0.0,0.0
95,96,chr1,207321858,207321860,206587154,206587156,CpG_96,0.0504014272970562,50,180,180,Promoter,+,False,chr1,0.0,0.0,0.0
96,97,chr1,207321879,207321881,206587175,206587177,CpG_97,0.03880938792923988,39,201,201,Promoter,+,False,chr1,0.0,0.0,0.0
97,98,chr1,207321882,207321884,206587178,206587180,CpG_98,0.07270769301398565,73,204,204,Promoter,+,False,chr1,0.0,0.0,0.0
98,99,chr1,207321886,207321888,206587182,206587184,CpG_99,0.0735950044603033,74,208,208,Promoter,+,False,chr1,0.0,0.0,0.0
99,100,chr1,207321921,207321923,206587217,206587219,CpG_100,0.13961224252335228,140,243,243,Promoter,+,False,chr1,0.0,0.0,0.0
100,101,chr1,207321935,207321937,206587231,206587233,CpG_101,0.36351946821469927,364,257,257,Promoter,+,True,chr1,0.4361848487149865,0.2836186711759597,3.954999999999998
101,102,chr1,207321946,207321948,206587242,206587244,CpG_102,0.1703835860838537,170,268,268,Promoter,+,False,chr1,0.0,0.0,0.0
102,103,chr1,207321949,207321951,206587245,206587247,CpG_103,0.24041034790365745,240,271,271,Promoter,+,False,chr1,0.2646550836924199,0.17208558109695657,1.5299999999999994
103,104,chr1,207321975,207321977,206587271,206587273,CpG_104,0.041480820695807316,41,297,297,Promoter,+,False,chr1,0.0,0.0,0.0
104,105,chr1,207321977,207321979,206587273,206587275,CpG_105,0.061556934762424534,62,299,299,Promoter,+,False,chr1,0.0,0.0,0.0
105,106,chr1,207321981,207321983,206587277,206587279,CpG_106,0.08922981208152501,89,303,303,Promoter,+,False,chr1,0.0,0.0,0.0
106,107,chr1,207321990,207321992,206587286,206587288,CpG_107,0.06958548070354854,70,312,312,Promoter,+,False,chr1,0.0,0.0,0.0
107,108,chr1,207321993,207321995,206587289,206587291,CpG_108,0.056199821587867974,56,315,315,Promoter,+,False,chr1,0.0,0.0,0.0
108,109,chr1,207322015,207322017,206587311,206587313,CpG_109,0.13514719000892061,135,337,337,Promoter,+,False,chr1,0.0,0.0,0.0
109,110,chr1,207322018,207322020,206587314,206587316,CpG_110,0.19892952720785012,199,340,340,Promoter,+,False,chr1,0.0,0.0,0.0
110,111,chr1,207322049,207322051,206587345,206587347,CpG_111,0.1583502655997822,158,371,371,Promoter,+,False,chr1,0.0,0.0,0.0
111,112,chr1,207322078,207322080,206587374,206587376,CpG_112,0.10972821040916853,110,400,400,Promoter,+,False,chr1,0.0,0.0,0.0
112,113,chr1,207322081,207322083,206587377,206587379,CpG_113,0.21944692239072258,219,403,403,Promoter,+,False,chr1,0.1885214047157861,0.12258149372046147,1.5349999999999984
113,114,chr1,207322102,207322104,206587398,206587400,CpG_114,0.09723461195361284,97,424,424,Promoter,+,False,chr1,0.0,0.0,0.0
114,115,chr1,207322114,207322116,206587410,206587412,CpG_115,0.15923757704609984,159,436,436,Promoter,+,False,chr1,0.0,0.0,0.0
115,116,chr1,207322138,207322140,206587434,206587436,CpG_116,0.022752296046991888,23,460,460,Promoter,+,False,chr1,0.0,0.0,0.0
116,117,chr1,207322210,207322212,206587506,206587508,CpG_117,0.09815991711038835,98,532,532,Promoter,+,False,chr1,0.0,0.0,0.0
117,118,chr1,207322217,207322219,206587513,206587515,CpG_118,0.10349328421590877,103,539,539,Promoter,+,False,chr1,0.0,0.0,0.0
118,119,chr1,207322230,207322232,206587526,206587528,CpG_119,0.10795358751653321,108,552,552,Promoter,+,False,chr1,0.0,0.0,0.0
119,120,chr1,207322244,207322246,206587540,206587542,CpG_120,0.17487238466732155,175,566,566,Promoter,+,False,chr1,0.2950913438076935,0.19187602470106324,1.4799999999999982
120,121,chr1,207322257,207322259,206587553,206587555,CpG_121,0.13472965496170156,135,579,579,Promoter,+,False,chr1,0.0,0.0,0.0
121,122,chr1,207322435,207322437,206587731,206587733,CpG_122,0.1389671409812034,139,757,757,Promoter,+,False,chr1,0.0,0.0,0.0
122,123,chr1,207322449,207322451,206587745,206587747,CpG_123,0.033091730273151036,33,771,771,Promoter,+,False,chr1,0.0,0.0,0.0
123,124,chr1,207322466,207322468,206587762,206587764,CpG_124,0.13874907291388805,139,788,788,Promoter,+,False,chr1,0.0,0.0,0.0
124,125,chr1,207322503,207322505,206587799,206587801,CpG_125,0.108504496318172,109,825,825,Promoter,+,False,chr1,0.0,0.0,0.0
125,126,chr1,207322567,207322569,206587863,206587865,CpG_126,0.10965776373769462,110,889,889,Promoter,+,False,chr1,0.0,0.0,0.0
126,127,chr1,207322667,207322669,206587963,206587965,CpG_127,0.01897587953460869,19,989,989,Promoter,+,False,chr1,0.0,0.0,0.0
127,128,chr1,207322700,207322702,206587996,206587998,CpG_128,0.07862085997180551,79,1022,1022,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
128,129,chr1,207322793,207322795,206588089,206588091,CpG_129,-0.0007729345471268467,0,1115,1115,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
129,130,chr1,207322878,207322880,206588174,206588176,CpG_130,-0.05135364466540604,0,1200,1200,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
130,131,chr1,207323409,207323411,206588705,206588707,CpG_131,-0.045370426803929526,0,1731,1731,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
131,132,chr1,207323613,207323615,206588909,206588911,CpG_132,-0.04792352499313343,0,1935,1935,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
132,133,chr1,207323695,207323697,206588991,206588993,CpG_133,-0.0521317241941574,0,2017,2017,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
133,134,chr1,207323863,207323865,206589159,206589161,CpG_134,-0.05292919634595489,0,2185,2185,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
134,135,chr1,207323917,207323919,206589213,206589215,CpG_135,-0.08680296382602998,0,2239,2239,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
135,136,chr1,207324141,207324143,206589437,206589439,CpG_136,-0.12369960589440754,0,2463,2463,Gene Body / Downstream,+,True,chr1,0.0,0.0,0.0
136,137,chr1,207324450,207324452,206589746,206589748,CpG_137,-0.07266811623225872,0,2772,2772,Gene Body / Downstream,+,False,chr1,0.0,0.0,0.0
