CpG Index,chrom,start_hg38,end_hg38,start_T2T,end_T2T,name,ΔmC,score,rel_to_TSS_hg38,rel_to_TSS_T2T,Region,strand
100,chr1,207321921,207321923,206587217,206587219,CpG_100,0.2721868034336276,272,243,243,Promoter,+
101,chr1,207321935,207321937,206587231,206587233,CpG_101,0.4843291621216946,484,257,257,Promoter,+
102,chr1,207321946,207321948,206587242,206587244,CpG_102,0.2449406838799721,245,268,268,Promoter,+
103,chr1,207321949,207321951,206587245,206587247,CpG_103,0.3091416608513608,309,271,271,Promoter,+
104,chr1,207321975,207321977,206587271,206587273,CpG_104,0.09560362875087229,96,297,297,Promoter,+
105,chr1,207321977,207321979,206587273,206587275,CpG_105,0.14096301465457084,141,299,299,Promoter,+
106,chr1,207321981,207321983,206587277,206587279,CpG_106,0.2477625187162515,248,303,303,Promoter,+
107,chr1,207321990,207321992,206587286,206587288,CpG_107,0.29937194696441033,299,312,312,Promoter,+
108,chr1,207321993,207321995,206587289,206587291,CpG_108,0.26796929518492674,268,315,315,Promoter,+
109,chr1,207322015,207322017,206587311,206587313,CpG_109,0.3621772505233775,362,337,337,Promoter,+
110,chr1,207322018,207322020,206587314,206587316,CpG_110,0.48499651081646894,485,340,340,Promoter,+
111,chr1,207322049,207322051,206587345,206587347,CpG_111,0.2868108862526169,287,371,371,Promoter,+
112,chr1,207322078,207322080,206587374,206587376,CpG_112,0.1598350937336974,160,400,400,Promoter,+
113,chr1,207322081,207322083,206587377,206587379,CpG_113,0.23377529658060014,234,403,403,Promoter,+
114,chr1,207322102,207322104,206587398,206587400,CpG_114,0.14584787159804605,146,424,424,Promoter,+
115,chr1,207322114,207322116,206587410,206587412,CpG_115,0.22051639916259597,221,436,436,Promoter,+
116,chr1,207322138,207322140,206587434,206587436,CpG_116,0.07397069085833916,74,460,460,Promoter,+
117,chr1,207322210,207322212,206587506,206587508,CpG_117,0.21004884856943476,210,532,532,Promoter,+
118,chr1,207322217,207322219,206587513,206587515,CpG_118,0.21423586880669923,214,539,539,Promoter,+
119,chr1,207322230,207322232,206587526,206587528,CpG_119,0.15491974877878575,155,552,552,Promoter,+
120,chr1,207322244,207322246,206587540,206587542,CpG_120,0.2526168876482903,253,566,566,Promoter,+
121,chr1,207322257,207322259,206587553,206587555,CpG_121,0.15631542219120725,156,579,579,Promoter,+
122,chr1,207322435,207322437,206587731,206587733,CpG_122,0.22822309094235055,228,757,757,Promoter,+
123,chr1,207322449,207322451,206587745,206587747,CpG_123,0.03628750872295883,36,771,771,Promoter,+
124,chr1,207322466,207322468,206587762,206587764,CpG_124,0.23656664340544312,237,788,788,Promoter,+
125,chr1,207322503,207322505,206587799,206587801,CpG_125,0.23450362129824728,235,825,825,Promoter,+
126,chr1,207322567,207322569,206587863,206587865,CpG_126,0.2735824768460491,274,889,889,Promoter,+
127,chr1,207322667,207322669,206587963,206587965,CpG_127,0.14584787159804605,146,989,989,Promoter,+
128,chr1,207322700,207322702,206587996,206587998,CpG_128,0.326709530552375,327,1022,1022,Gene Body / Downstream,+
129,chr1,207322793,207322795,206588089,206588091,CpG_129,0.06001395673412421,60,1115,1115,Gene Body / Downstream,+
130,chr1,207322878,207322880,206588174,206588176,CpG_130,0.23826719693222856,238,1200,1200,Gene Body / Downstream,+
131,chr1,207323409,207323411,206588705,206588707,CpG_131,0.08513946571453734,85,1731,1731,Gene Body / Downstream,+
132,chr1,207323613,207323615,206588909,206588911,CpG_132,0.07245645295699836,72,1935,1935,Gene Body / Downstream,+
133,chr1,207323695,207323697,206588991,206588993,CpG_133,0.005958712457401483,6,2017,2017,Gene Body / Downstream,+
134,chr1,207323863,207323865,206589159,206589161,CpG_134,-0.014705384182819692,0,2185,2185,Gene Body / Downstream,+
135,chr1,207323917,207323919,206589213,206589215,CpG_135,0.01982737010413349,20,2239,2239,Gene Body / Downstream,+
136,chr1,207324141,207324143,206589437,206589439,CpG_136,0.005237162853406918,5,2463,2463,Gene Body / Downstream,+
137,chr1,207324450,207324452,206589746,206589748,CpG_137,-0.03739523980514775,0,2772,2772,Gene Body / Downstream,+
