,chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high,map_pval_less005,map_pval_log10,cg_unit_pair,cg_unit_pair_id,efsize-score,score-efsize,score_scaled,efsize-score_scaled,start_hg38,end_hg38,start_t2tv2,end_t2tv2,score_norm
10,chr1,206584104,206584105,.,0.6639552083775015,+,m:995,1051,m:446,463,m:94.67,m:96.33,0.94671744,0.96328294,1.0,-0.01,-0.0802428490587336,-0.0290820726688787,0.1895677707863461,False,-4.342945178152237e-11,CG_4,CG_4.+,-0.6739552083775016,0.6739552083775016,0.0010373146049656,-0.0110373146049656,207318808,207318809,206584104,206584105,0.0010373146049656
11,chr1,206584105,206584106,.,-0.335973903197555,-,m:798,835,m:436,457,m:95.57,m:95.40,0.9556886,0.95404816,1.0,0.01,0.0079025138870956,-0.1061429484261897,0.1219479762003809,False,-4.342945178152237e-11,CG_4,CG_4.-,0.345973903197555,-0.345973903197555,9.876021229169874e-06,0.00999012397877083,207318809,207318810,206584105,206584106,9.876021229169874e-06
12,chr1,206584137,206584138,.,-0.2258405661805227,+,m:1223,1253,m:559,575,m:97.61,m:97.22,0.97605747,0.9721739,1.0,0.01,0.0244740201167332,-0.0742508858782249,0.1231989261116914,False,-4.342945178152237e-11,CG_5,CG_5.+,0.2358405661805227,-0.2358405661805227,0.000123039283001505,0.009876960716998496,207318841,207318842,206584137,206584138,0.000123039283001505
13,chr1,206584138,206584139,.,-0.3377797333134822,-,m:591,667,m:303,343,m:88.61,m:88.34,0.88605696,0.8833819,1.0,0.01,0.0083764290026886,-0.1218499008053726,0.1386027588107499,False,-4.342945178152237e-11,CG_5,CG_5.-,0.3477797333134822,-0.3477797333134822,8.020510158135726e-06,0.009991979489841865,207318842,207318843,206584138,206584139,8.020510158135726e-06
14,chr1,206584151,206584152,.,-0.3133291934295812,+,m:1134,1168,m:506,520,m:97.09,m:97.31,0.9708904,0.97307694,1.0,0.0,-0.0132526547436655,-0.0900737263611819,0.116579035848513,False,-4.342945178152237e-11,CG_6,CG_6.+,0.3133291934295812,-0.3133291934295812,3.314371917275864e-05,-3.314371917275864e-05,207318855,207318856,206584151,206584152,3.314371917275864e-05
15,chr1,206584152,206584153,.,-0.3266370421542888,-,m:874,908,m:463,480,m:96.26,m:96.46,0.96255505,0.96458334,1.0,0.0,-0.0108266607416349,-0.0997794906712393,0.1214328121545092,False,-4.342945178152237e-11,CG_6,CG_6.-,0.3266370421542888,-0.3266370421542888,1.946975260051339e-05,-1.946975260051339e-05,207318856,207318857,206584152,206584153,1.946975260051339e-05
16,chr1,206584176,206584177,.,-0.3277179409396922,+,m:1148,1175,m:519,532,m:97.70,m:97.56,0.9770213,0.9755639,1.0,0.0,0.0095806527210067,-0.0928406044127237,0.1120019098547372,False,-4.342945178152237e-11,CG_7,CG_7.+,0.3277179409396922,-0.3277179409396922,1.8359116752050104e-05,-1.8359116752050104e-05,207318880,207318881,206584176,206584177,1.8359116752050104e-05
17,chr1,206584177,206584178,.,2.8854296081617576,-,m:849,895,m:485,497,m:94.86,m:97.59,0.94860333,0.9758551,1.0,-0.03,-0.1453564729655383,0.0357142084761949,0.2549987374548818,False,-4.342945178152237e-11,CG_7,CG_7.-,-2.9154296081617574,2.9154296081617574,0.0033199049253192733,-0.03331990492531927,207318881,207318882,206584177,206584178,0.0033199049253192733
18,chr1,206584178,206584179,.,0.1118285848647246,+,m:1219,1245,m:547,555,m:97.91,m:98.56,0.97911644,0.9855856,1.0,-0.01,-0.049337593704223,-0.0506976826616724,0.1493728700701186,False,-4.342945178152237e-11,CG_8,CG_8.+,-0.1218285848647246,0.1218285848647246,0.0004699981926935447,-0.010469998192693545,207318882,207318883,206584178,206584179,0.0004699981926935447
19,chr1,206584179,206584180,.,2.210800199804908,-,m:707,815,m:403,443,m:86.75,m:90.97,0.8674847,0.90970653,1.0,-0.04,-0.1347647932415756,0.0190716170716187,0.2504579694115325,False,-4.342945178152237e-11,CG_8,CG_8.-,-2.250800199804908,2.250800199804908,0.0026267155023437837,-0.04262671550234379,207318883,207318884,206584179,206584180,0.0026267155023437837
20,chr1,206584201,206584202,.,-0.1317457206414474,+,m:812,871,m:373,396,m:93.23,m:94.19,0.93226177,0.9419192,1.0,-0.0099999999999998,-0.0398034627975132,-0.0789864949876999,0.1585934205827263,False,-4.342945178152237e-11,CG_9,CG_9.+,0.1217457206414476,-0.1217457206414476,0.00021972281158212973,-0.01021972281158193,207318905,207318906,206584201,206584202,0.00021972281158212973
21,chr1,206584202,206584203,.,-0.1172357248942717,-,m:928,945,m:515,522,m:98.20,m:98.66,0.9820106,0.98659,1.0,-0.01,-0.0369363218116052,-0.0699475043915861,0.1438201480147966,False,-4.342945178152237e-11,CG_9,CG_9.-,0.1072357248942717,-0.1072357248942717,0.00023463199795136844,-0.010234631997951368,207318906,207318907,206584202,206584203,0.00023463199795136844
22,chr1,206584227,206584228,.,-0.2580371318817924,+,m:1074,1126,m:484,505,m:95.38,m:95.84,0.9538188,0.95841587,1.0,-0.01,-0.0224503776535009,-0.0825184114296797,0.1274191667366817,False,-4.342945178152237e-11,CG_10,CG_10.+,0.24803713188179238,-0.24803713188179238,8.995694398130895e-05,-0.010089956943981309,207318931,207318932,206584227,206584228,8.995694398130895e-05
23,chr1,206584228,206584229,.,0.3129432582868503,-,m:877,893,m:482,487,m:98.21,m:98.97,0.98208284,0.98973304,1.0,-0.01,-0.065515517119485,-0.044891690035941,0.175922724274911,False,-4.342945178152237e-11,CG_10,CG_10.-,-0.32294325828685033,0.32294325828685033,0.0006766458168475829,-0.010676645816847583,207318932,207318933,206584228,206584229,0.0006766458168475829
24,chr1,206584272,206584273,.,-0.3445981020968247,+,m:1128,1222,m:511,554,m:92.31,m:92.24,0.9230769,0.92238265,1.0,0.0,0.002600094852772,-0.0977872774386619,0.1029874671442059,False,-4.342945178152237e-11,CG_11,CG_11.+,0.3445981020968247,-0.3445981020968247,1.0145583510968265e-06,-1.0145583510968265e-06,207318976,207318977,206584272,206584273,1.0145583510968265e-06
25,chr1,206584273,206584274,.,-0.3445401968592705,-,m:825,945,m:444,508,m:87.30,m:87.40,0.8730159,0.87401575,1.0,0.0,-0.0030080837027872,-0.1048203105238,0.1108364779293745,False,-4.342945178152237e-11,CG_11,CG_11.-,0.3445401968592705,-0.3445401968592705,1.0740566441006801e-06,-1.0740566441006801e-06,207318977,207318978,206584273,206584274,1.0740566441006801e-06
26,chr1,206584304,206584305,.,-0.3446426498389883,+,m:1208,1243,m:548,564,m:97.18,m:97.16,0.9718423,0.9716312,1.0,0.0,0.0012735660593596,-0.0982330714536213,0.1007802035723407,False,-4.342945178152237e-11,CG_12,CG_12.+,0.3446426498389883,-0.3446426498389883,9.687850371814592e-07,-9.687850371814592e-07,207319008,207319009,206584304,206584305,9.687850371814592e-07
27,chr1,206584305,206584306,.,1.3269560947987884,-,m:823,869,m:434,471,m:94.71,m:92.14,0.9470656,0.92144376,1.0,0.0299999999999999,0.1038601381302588,-0.008284922072317,0.2160051983328347,False,-4.342945178152237e-11,CG_12,CG_12.-,-1.2969560947987886,1.2969560947987886,0.0017185555888266375,0.02828144441117326,207319009,207319010,206584305,206584306,0.0017185555888266375
28,chr1,206584395,206584396,.,-0.345585495841533,+,m:1206,1268,m:544,572,m:95.11,m:95.10,0.9511041,0.951049,1.0,0.0,0.0002555968668587,-0.0984630880707681,0.0989742818044855,False,-4.342945178152237e-11,CG_13,CG_13.+,0.345585495841533,-0.345585495841533,0.0,0.0,207319099,207319100,206584395,206584396,0.0
29,chr1,206584396,206584397,.,-0.267725915963183,-,m:820,894,m:457,495,m:91.72,m:92.32,0.91722596,0.9232323,1.0,0.0,-0.0221724835357872,-0.0876339674313465,0.131978934502921,False,-4.342945178152237e-11,CG_13,CG_13.-,0.267725915963183,-0.267725915963183,8.00016076684859e-05,-8.00016076684859e-05,207319100,207319101,206584396,206584397,8.00016076684859e-05
30,chr1,206584407,206584408,.,-0.1045715264881437,+,m:1132,1206,m:518,547,m:93.86,m:94.70,0.9386401,0.9469836,1.0,-0.01,-0.0359550058416178,-0.0650799676833431,0.1369899793665787,False,-4.342945178152237e-11,CG_14,CG_14.+,0.09457152648814371,-0.09457152648814371,0.00024764460646924,-0.01024764460646924,207319111,207319112,206584407,206584408,0.00024764460646924
31,chr1,206584408,206584409,.,-0.0402885519488336,-,m:933,954,m:509,524,m:97.80,m:97.14,0.9779874,0.97137403,1.0,0.01,0.042187389105325,-0.0643851902883679,0.1487599684990179,False,-4.342945178152237e-11,CG_14,CG_14.-,0.0502885519488336,-0.0502885519488336,0.0003136960970744079,0.009686303902925592,207319112,207319113,206584408,206584409,0.0003136960970744079
32,chr1,206584411,206584412,.,-0.2858858131926354,+,m:1117,1167,m:512,537,m:95.72,m:95.34,0.9571551,0.9534451,1.0,0.01,0.0179574727787663,-0.0842447438966777,0.1201596894542104,False,-4.342945178152237e-11,CG_15,CG_15.+,0.2958858131926354,-0.2958858131926354,6.134210583556306e-05,0.009938657894164437,207319115,207319116,206584411,206584412,6.134210583556306e-05
33,chr1,206584412,206584413,.,1.8832459255213507,-,m:760,817,m:421,439,m:93.02,m:95.90,0.9302326,0.9589977,1.0,-0.0299999999999999,-0.1268141547288519,0.0108297434710079,0.2427985659866959,False,-4.342945178152237e-11,CG_15,CG_15.-,-1.9132459255213505,1.9132459255213505,0.002290149744060577,-0.03229014974406048,207319116,207319117,206584412,206584413,0.002290149744060577
34,chr1,206584946,206584947,.,4.326844669545153,+,m:932,1066,m:465,503,m:87.43,m:92.45,0.8742964,0.92445326,1.0,-0.05,-0.1679757491786428,0.0619535110500078,0.2739979873072779,False,-4.342945178152237e-11,CG_16,CG_16.+,-4.376844669545153,4.376844669545153,0.00480097536531411,-0.054800975365314114,207319650,207319651,206584946,206584947,0.00480097536531411
35,chr1,206584947,206584948,.,2.9961438819186696,-,m:731,809,m:423,448,m:90.36,m:94.42,0.90358466,0.9441964,1.0,-0.0399999999999999,-0.154491244822529,0.0390655594284136,0.2699169302166445,False,-4.342945178152237e-11,CG_16,CG_16.-,-3.0361438819186697,3.0361438819186697,0.0034336651062275283,-0.043433665106227426,207319651,207319652,206584947,206584948,0.0034336651062275283
36,chr1,206585234,206585235,.,-0.0696756875504434,+,m:886,982,m:402,452,m:90.22,m:88.94,0.90224034,0.8893805,1.0,0.01,0.0421122598114815,-0.0692909503164847,0.1535154699394478,False,-4.342945178152237e-11,CG_17,CG_17.+,0.0796756875504434,-0.0796756875504434,0.0002835004795720546,0.009716499520427945,207319938,207319939,206585234,206585235,0.0002835004795720546
37,chr1,206585235,206585236,.,0.5025016061247243,-,m:649,803,m:362,432,m:80.82,m:83.80,0.8082192,0.837963,1.0,-0.0299999999999999,-0.0780090224952783,-0.0389360490112099,0.1949540940017665,False,-4.342945178152237e-11,CG_17,CG_17.-,-0.5325016061247242,0.5325016061247242,0.0008714191844627968,-0.030871419184462696,207319939,207319940,206585235,206585236,0.0008714191844627968
38,chr1,206585379,206585380,.,3.8382947777245136,+,m:948,1071,m:459,493,m:88.52,m:93.10,0.88515407,0.9310345,1.0,-0.04,-0.1600139455356424,0.053342477907302,0.2666854131639828,False,-4.342945178152237e-11,CG_18,CG_18.+,-3.8782947777245136,3.8782947777245136,0.004298984771054763,-0.04429898477105476,207320083,207320084,206585379,206585380,0.004298984771054763
39,chr1,206585380,206585381,.,-0.3225376884761317,-,m:729,765,m:388,406,m:95.29,m:95.57,0.9529412,0.95566505,1.0,-0.01,-0.0130450918802922,-0.1073012251864536,0.1333914089470381,False,-4.342945178152237e-11,CG_18,CG_18.-,0.31253768847613167,-0.31253768847613167,2.3681885329288656e-05,-0.010023681885329289,207320084,207320085,206585380,206585381,2.3681885329288656e-05
40,chr1,206585797,206585798,.,3.7681801826624906,+,m:862,1046,m:376,494,m:82.41,m:76.11,0.8240918,0.7611336,0.5456238765566085,0.0599999999999999,0.1556892328800989,0.0486903767942274,0.2626880889659705,False,0.26310663308522503,CG_19,CG_19.+,-3.7081801826624905,3.7081801826624905,0.004226941223751389,0.05577305877624851,207320501,207320502,206585797,206585798,0.004226941223751389
41,chr1,206585798,206585799,.,0.8259432929407922,-,m:399,600,m:177,289,m:66.50,m:61.25,0.665,0.61245674,1.0,0.06,0.1094493825462505,-0.030888340187619,0.2497871052801202,False,-4.342945178152237e-11,CG_19,CG_19.-,-0.7659432929407921,0.7659432929407921,0.0012037592121475278,0.05879624078785247,207320502,207320503,206585798,206585799,0.0012037592121475278
42,chr1,206585896,206585897,.,1.3013765539558335,+,m:1057,1213,m:501,556,m:87.14,m:90.11,0.87139326,0.9010791,1.0,-0.03,-0.0936782232925139,-0.0067010879100043,0.1940575344950322,False,-4.342945178152237e-11,CG_20,CG_20.+,-1.3313765539558335,1.3313765539558335,0.0016922723184306832,-0.031692272318430685,207320600,207320601,206585896,206585897,0.0016922723184306832
43,chr1,206585897,206585898,.,-0.295103452125204,-,m:806,901,m:441,490,m:89.46,m:90.00,0.8945616,0.9,1.0,-0.01,-0.0179149563161833,-0.0920998707727369,0.1279297834051036,False,-4.342945178152237e-11,CG_20,CG_20.-,0.285103452125204,-0.285103452125204,5.1870876544764286e-05,-0.010051870876544765,207320601,207320602,206585897,206585898,5.1870876544764286e-05
44,chr1,206586020,206586021,.,15.697673665667937,+,m:624,1051,m:202,463,m:59.37,m:43.63,0.59372026,0.4362851,0.0881919030579439,0.1499999999999999,0.3163330300051787,0.2070081082775663,0.4256579517327912,False,1.054571285335762,CG_21,CG_21.+,-15.547673665667936,15.547673665667936,0.016484632041018955,0.13351536795898095,207320724,207320725,206586020,206586021,0.016484632041018955
45,chr1,206586021,206586022,.,16.68828861596694,-,m:497,816,m:185,425,m:60.91,m:43.53,0.60906863,0.43529412,0.0739372400755788,0.1699999999999999,0.3496810862855606,0.2324360575622624,0.4669261150088588,False,1.1311367641887473,CG_21,CG_21.-,-16.51828861596694,16.51828861596694,0.017502500217654142,0.15249749978234575,207320725,207320726,206586021,206586022,0.017502500217654142
46,chr1,206586120,206586121,.,10.419019004586062,+,m:323,1112,m:92,501,m:29.05,m:18.36,0.29046762,0.18363273,0.0835179793222791,0.1099999999999999,0.2526644243876262,0.1472029064030043,0.3581259423722482,False,1.0782200212427888,CG_22,CG_22.+,-10.309019004586062,10.309019004586062,0.011060754081837678,0.09893924591816222,207320824,207320825,206586120,206586121,0.011060754081837678
47,chr1,206586121,206586122,.,3.0530411137347078,-,m:178,822,m:70,447,m:21.65,m:15.66,0.21654502,0.15659955,1.0,0.06,0.1543285444979654,0.0391453201309976,0.2695117688649332,False,-4.342945178152237e-11,CG_22,CG_22.-,-2.9930411137347077,2.9930411137347077,0.003492127661821606,0.05650787233817839,207320825,207320826,206586121,206586122,0.003492127661821606
48,chr1,206586163,206586164,.,104.35814781958923,+,m:666,927,m:129,426,m:71.84,m:30.28,0.7184466,0.3028169,1.15254923e-08,0.42,0.8575199810520877,0.7427964983136846,0.9722434637904908,True,7.934588647156593,CG_23,CG_23.+,-103.93814781958923,103.93814781958923,0.10758428194981916,0.3124157180501808,207320867,207320868,206586163,206586164,0.10758428194981916
49,chr1,206586164,206586165,.,102.40529044732192,-,m:567,761,m:125,400,m:74.51,m:31.25,0.74507225,0.3125,1.6742892e-09,0.44,0.8966522888266661,0.7756086762486134,1.0176959014047189,True,8.750975590971203,CG_23,CG_23.-,-101.96529044732192,101.96529044732192,0.10557769869349103,0.33442230130650896,207320868,207320869,206586164,206586165,0.10557769869349103
50,chr1,206586168,206586169,.,93.68403120277117,+,m:563,857,m:121,456,m:65.69,m:26.54,0.65694284,0.26535088,1.448503616e-07,0.39,0.8077787052798069,0.6941710434251458,0.921386367134468,True,6.83878069689616,CG_24,CG_24.+,-93.29403120277117,93.29403120277117,0.09661650520197933,0.29338349479802067,207320872,207320873,206586168,206586169,0.09661650520197933
51,chr1,206586169,206586170,.,33.535441313691535,-,m:225,415,m:48,225,m:54.22,m:21.33,0.5421687,0.21333334,5.7800569793e-06,0.33,0.6950061364725201,0.5327419149294543,0.8572703580155858,True,5.238060366714766,CG_24,CG_24.-,-33.20544131369154,33.20544131369154,0.0348131420495299,0.2951868579504701,207320873,207320874,206586169,206586170,0.0348131420495299
52,chr1,206586173,206586174,.,166.4622776441022,+,m:674,860,m:118,443,m:78.37,m:26.64,0.7837209,0.26636568,1.1639e-12,0.51,1.089594602661114,0.9749722785321052,1.2042169267901224,True,9.99497443638743,CG_25,CG_25.+,-165.9522776441022,165.9522776441022,0.1713969847228911,0.3386030152771089,207320877,207320878,206586173,206586174,0.1713969847228911
53,chr1,206586174,206586175,.,60.899812356551934,-,m:273,334,m:49,159,m:81.74,m:30.82,0.8173653,0.3081761,6.904e-13,0.51,1.081402939552775,0.8925604335224894,1.2702454455830607,True,9.997011933873102,CG_25,CG_25.-,-60.389812356551936,60.389812356551936,0.0629303458629367,0.4470696541370633,207320878,207320879,206586174,206586175,0.0629303458629367
54,chr1,206586175,206586176,.,183.4024924502046,+,m:701,915,m:110,466,m:76.61,m:23.61,0.7661202,0.2360515,1.249e-13,0.53,1.1173672533319976,1.0058244834399857,1.2289100232240096,True,9.999457904660215,CG_26,CG_26.+,-182.8724924502046,182.8724924502046,0.18880324893411796,0.3411967510658821,207320879,207320880,206586175,206586176,0.18880324893411796
55,chr1,206586176,206586177,.,104.71028426676467,-,m:343,458,m:46,242,m:74.89,m:19.01,0.7489083,0.19008264,2.6e-15,0.56,1.1896114564546587,1.0338511872788114,1.345371725630506,True,9.99998870849026,CG_26,CG_26.-,-104.15028426676467,104.15028426676467,0.10794610617153626,0.4520538938284638,207320880,207320881,206586176,206586177,0.10794610617153626
56,chr1,206586177,206586178,.,193.83362585167103,+,m:744,969,m:113,482,m:76.78,m:23.44,0.7678019,0.23443983,3.77e-14,0.54,1.125144804225136,1.0159011070782085,1.2343885013720637,True,9.999836301835488,CG_27,CG_27.+,-193.29362585167104,193.29362585167104,0.19952135765273182,0.3404786423472682,207320881,207320882,206586177,206586178,0.19952135765273182
57,chr1,206586178,206586179,.,146.81977033070098,-,m:469,638,m:80,397,m:73.51,m:20.15,0.73510975,0.20151134,3.25e-14,0.54,1.1292675570931805,1.0039786349086302,1.2545564792777308,True,9.999858877224591,CG_27,CG_27.-,-146.27977033070098,146.27977033070098,0.1512140840937413,0.38878591590625877,207320882,207320883,206586178,206586179,0.1512140840937413
58,chr1,206586179,206586180,.,180.26637583269485,+,m:862,1033,m:146,447,m:83.45,m:32.66,0.8344627,0.32662192,1.5969e-12,0.4999999999999999,1.0868726608010162,0.9759104690611696,1.1978348525408626,True,9.993119543365422,CG_28,CG_28.+,-179.76637583269485,179.76637583269485,0.18558085328763954,0.3144191467123604,207320883,207320884,206586179,206586180,0.18558085328763954
59,chr1,206586180,206586181,.,180.1728130579472,-,m:554,752,m:89,464,m:73.67,m:19.18,0.73670214,0.19181034,8.9e-15,0.55,1.157287978325838,1.0415843527173836,1.272991603934292,True,9.999961349511032,CG_28,CG_28.-,-179.62281305794718,179.62281305794718,0.18548471646787462,0.3645152835321254,207320884,207320885,206586180,206586181,0.18548471646787462
60,chr1,206586181,206586182,.,131.10749068798532,+,m:886,1020,m:176,401,m:86.86,m:43.89,0.8686274,0.43890274,3.742042e-10,0.43,0.9514988039727416,0.8359746337487708,1.0670229741967123,True,9.32403460381893,CG_29,CG_29.+,-130.6774906879853,130.6774906879853,0.13506953728886437,0.29493046271113565,207320885,207320886,206586181,206586182,0.13506953728886437
61,chr1,206586182,206586183,.,179.9338417410304,-,m:617,824,m:105,481,m:74.88,m:21.83,0.7487864,0.21829522,1.212e-13,0.53,1.1193052607946583,1.0068403086413542,1.2317702129479624,True,9.99947395380757,CG_29,CG_29.-,-179.4038417410304,179.4038417410304,0.18523917071011597,0.34476082928988405,207320886,207320887,206586182,206586183,0.18523917071011597
62,chr1,206586183,206586184,.,85.70303408944369,+,m:788,899,m:172,336,m:87.65,m:51.19,0.87652946,0.5119048,3.83340727e-08,0.37,0.8288871205435919,0.7035637446216073,0.9542104964655764,True,7.415283592704022,CG_30,CG_30.+,-85.33303408944369,85.33303408944369,0.08841593950587176,0.2815840604941282,207320887,207320888,206586183,206586184,0.08841593950587176
63,chr1,206586184,206586185,.,157.02587073981795,-,m:594,802,m:112,471,m:74.06,m:23.78,0.7406484,0.23779193,3.8422e-12,0.5,1.0541627743314477,0.94038310818016,1.1679424404827354,True,9.983626119486896,CG_30,CG_30.-,-156.52587073981795,156.52587073981795,0.16170096884229862,0.3382990311577014,207320888,207320889,206586184,206586185,0.16170096884229862
64,chr1,206586185,206586186,.,72.21896343155129,+,m:590,648,m:113,218,m:91.05,m:51.83,0.91049385,0.51834863,1.875018e-09,0.39,0.9264333019655256,0.7729746823654581,1.079891921565593,True,8.704428941928635,CG_31,CG_31.+,-71.82896343155129,71.82896343155129,0.0745609028844012,0.3154390971155988,207320889,207320890,206586185,206586186,0.0745609028844012
65,chr1,206586186,206586187,.,155.4880685967937,-,m:525,691,m:92,410,m:75.98,m:22.44,0.7597684,0.22439024,3.71e-14,0.54,1.13013397855368,1.007950974571442,1.252316982535918,True,9.999838906628186,CG_31,CG_31.-,-154.94806859679372,154.94806859679372,0.16012085957494576,0.3798791404250543,207320890,207320891,206586186,206586187,0.16012085957494576
66,chr1,206586187,206586188,.,38.12558894449444,+,m:544,584,m:108,167,m:93.15,m:64.67,0.9315069,0.6467066,3.0325223875e-06,0.28,0.7434100949475979,0.5714200141996078,0.915400175695588,True,5.51818166329128,CG_32,CG_32.+,-37.84558894449444,37.84558894449444,0.03952957117069492,0.2404704288293051,207320891,207320892,206586187,206586188,0.03952957117069492
67,chr1,206586188,206586189,.,124.66340008800148,-,m:452,598,m:78,337,m:75.59,m:23.15,0.7558528,0.231454,1.25e-13,0.53,1.1041547228018251,0.9706525438673164,1.237656901736334,True,9.999457470907705,CG_32,CG_32.-,-124.13340008800148,124.13340008800148,0.1284481605903826,0.4015518394096174,207320892,207320893,206586188,206586189,0.1284481605903826
68,chr1,206586227,206586228,.,164.01128841458467,+,m:771,1102,m:104,482,m:69.96,m:21.58,0.699637,0.21576764,2.76495e-11,0.48,1.0153633690170945,0.908331930296225,1.122394807737964,True,9.893980881977367,CG_33,CG_33.+,-163.53128841458468,163.53128841458468,0.16887856529337567,0.31112143470662434,207320931,207320932,206586227,206586228,0.16887856529337567
69,chr1,206586228,206586229,.,147.3007701870133,-,m:626,899,m:115,504,m:69.63,m:22.82,0.69632924,0.2281746,8.21858e-11,0.47,0.978301225765586,0.8692371276388094,1.0873653238923626,True,9.739485476001722,CG_33,CG_33.-,-146.83077018701331,146.83077018701331,0.1517083169402763,0.31829168305972366,207320932,207320933,206586228,206586229,0.1517083169402763
70,chr1,206586286,206586287,.,197.4904196574644,+,m:686,1052,m:65,492,m:65.21,m:13.21,0.65209126,0.13211381,5.77e-14,0.52,1.1358866405453738,1.0288379602300752,1.2429353208606724,True,9.999749484350758,CG_34,CG_34.+,-196.9704196574644,196.9704196574644,0.20327875505755624,0.3167212449424438,207320990,207320991,206586286,206586287,0.20327875505755624
